component,width_m,depth_m,height_m,x_m,plan_y_m,z_m
AC_Ledge_Condenser_Indicative,0.88,0.38,0.74,9.9,7.01,0.49
Bedroom_2_Bed_Base,1.28,2.1,0.32,8.2,1.37,0.22
Bedroom_2_Bedside,0.44,0.44,0.07,9.0,0.85,0.47
Bedroom_2_Bedside_Base,0.26,0.26,0.44,9.0,0.85,0.24
Bedroom_2_Duvet,1.215,1.55,0.12,8.2,1.57,0.635
Bedroom_2_Low_Storage_Carcass,1.6,0.46,0.73,8.3,3.02,0.465
Bedroom_2_Low_Storage_Front_01,0.5273,0.022,0.722,7.7667,2.779,0.465
Bedroom_2_Low_Storage_Front_02,0.5273,0.022,0.722,8.3,2.779,0.465
Bedroom_2_Low_Storage_Front_03,0.5273,0.022,0.722,8.8333,2.779,0.465
Bedroom_2_Low_Storage_Recessed_Plinth,1.52,0.4,0.1,8.3,3.02,0.05
Bedroom_2_Mattress,1.2,2.0,0.25,8.2,1.37,0.48
Bedroom_2_Upholstered_Headboard,1.36,0.1,1.1,8.2,0.31,0.7
Bedroom_2_Wardrobe_Carcass,0.55,1.65,2.23,6.76,1.3,1.215
Bedroom_2_Wardrobe_Front_01,0.022,0.544,2.222,7.046,0.75,1.215
Bedroom_2_Wardrobe_Front_02,0.022,0.544,2.222,7.046,1.3,1.215
Bedroom_2_Wardrobe_Front_03,0.022,0.544,2.222,7.046,1.85,1.215
Bedroom_2_Wardrobe_Recessed_Plinth,0.47,1.59,0.1,6.76,1.3,0.05
Bedroom_3_Bed_Base,1.28,2.1,0.32,4.35,1.4,0.22
Bedroom_3_Desk,1.4,0.55,0.055,4.32,2.99,0.745
Bedroom_3_Desk_Leg,0.055,0.48,0.72,3.72,2.99,0.36
Bedroom_3_Desk_Leg.001,0.055,0.48,0.72,4.92,2.99,0.36
Bedroom_3_Desk_Stool,0.44,0.44,0.08,5.0,2.38,0.46
Bedroom_3_Duvet,1.215,1.55,0.12,4.35,1.6,0.635
Bedroom_3_Mattress,1.2,2.0,0.25,4.35,1.4,0.48
Bedroom_3_Stool_Base,0.24,0.24,0.44,5.0,2.38,0.23
Bedroom_3_Upholstered_Headboard,1.36,0.1,1.1,4.35,0.34,0.7
Bedroom_3_Wardrobe_Carcass,0.55,1.65,2.23,6.0,1.3,1.215
Bedroom_3_Wardrobe_Front_01,0.022,0.544,2.222,5.714,0.75,1.215
Bedroom_3_Wardrobe_Front_02,0.022,0.544,2.222,5.714,1.3,1.215
Bedroom_3_Wardrobe_Front_03,0.022,0.544,2.222,5.714,1.85,1.215
Bedroom_3_Wardrobe_Recessed_Plinth,0.47,1.59,0.1,6.0,1.3,0.05
Common_Bath_Basin,0.37,0.46,0.095,8.26,4.93,0.895
Common_Bath_Mirror,0.025,0.61,0.86,8.48,4.93,1.52
Common_Bath_Mixer_Spout,0.16,0.027,0.027,8.38,4.93,1.16
Common_Bath_Mixer_Stem,0.026,0.026,0.26,8.45,4.93,1.04
Common_Bath_Shower_Glass,0.012,0.48,2.02,7.71,6.06,1.01
Common_Bath_Shower_Head,0.23,0.23,0.025,8.13,6.13,2.09
Common_Bath_Shower_Stem,0.025,0.025,1.22,8.13,6.29,1.46
Common_Bath_Vanity_Carcass,0.42,0.64,0.5,8.28,4.93,0.57
Common_Bath_Vanity_Front_01,0.022,0.634,0.492,8.059,4.93,0.57
Common_Bath_Vanity_Top,0.45,0.66,0.06,8.28,4.93,0.86
Common_Bath_WC_Cistern,0.39,0.19,0.74,6.94,6.19,0.56
Common_Bath_WC_Pan,0.39,0.62,0.48,6.94,5.93,0.31
Common_Bath_WC_Seat,0.38,0.52,0.075,6.94,5.9,0.45
Dining_Chair_East_0_Back,0.08,0.46,0.45,5.57,4.73,0.71
Dining_Chair_East_0_Leg,0.04,0.04,0.42,5.2,4.55,0.21
Dining_Chair_East_0_Leg.001,0.04,0.04,0.42,5.2,4.91,0.21
Dining_Chair_East_0_Leg.002,0.04,0.04,0.42,5.54,4.55,0.21
Dining_Chair_East_0_Leg.003,0.04,0.04,0.42,5.54,4.91,0.21
Dining_Chair_East_0_Seat,0.47,0.48,0.1,5.37,4.73,0.46
Dining_Chair_East_1_Back,0.08,0.46,0.45,5.57,5.37,0.71
Dining_Chair_East_1_Leg,0.04,0.04,0.42,5.2,5.19,0.21
Dining_Chair_East_1_Leg.001,0.04,0.04,0.42,5.2,5.55,0.21
Dining_Chair_East_1_Leg.002,0.04,0.04,0.42,5.54,5.19,0.21
Dining_Chair_East_1_Leg.003,0.04,0.04,0.42,5.54,5.55,0.21
Dining_Chair_East_1_Seat,0.47,0.48,0.1,5.37,5.37,0.46
Dining_Chair_West_0_Back,0.08,0.46,0.45,3.73,4.73,0.71
Dining_Chair_West_0_Leg,0.04,0.04,0.42,3.76,4.55,0.21
Dining_Chair_West_0_Leg.001,0.04,0.04,0.42,3.76,4.91,0.21
Dining_Chair_West_0_Leg.002,0.04,0.04,0.42,4.1,4.55,0.21
Dining_Chair_West_0_Leg.003,0.04,0.04,0.42,4.1,4.91,0.21
Dining_Chair_West_0_Seat,0.47,0.48,0.1,3.93,4.73,0.46
Dining_Chair_West_1_Back,0.08,0.46,0.45,3.73,5.37,0.71
Dining_Chair_West_1_Leg,0.04,0.04,0.42,3.76,5.19,0.21
Dining_Chair_West_1_Leg.001,0.04,0.04,0.42,3.76,5.55,0.21
Dining_Chair_West_1_Leg.002,0.04,0.04,0.42,4.1,5.19,0.21
Dining_Chair_West_1_Leg.003,0.04,0.04,0.42,4.1,5.55,0.21
Dining_Chair_West_1_Seat,0.47,0.48,0.1,3.93,5.37,0.46
Dining_Oval_Table,0.85,1.3,0.055,4.65,5.05,0.755
Dining_Table_Pedestal,0.42,0.13,0.72,4.65,4.68,0.37
Dining_Table_Pedestal.001,0.42,0.13,0.72,4.65,5.42,0.37
Ensuite_Basin,0.37,0.46,0.095,10.71,4.93,0.895
Ensuite_Mirror,0.025,0.61,0.86,10.93,4.93,1.52
Ensuite_Mixer_Spout,0.16,0.027,0.027,10.83,4.93,1.16
Ensuite_Mixer_Stem,0.026,0.026,0.26,10.9,4.93,1.04
Ensuite_Shower_Glass,0.012,0.48,2.02,10.19,6.06,1.01
Ensuite_Shower_Head,0.23,0.23,0.025,10.61,6.13,2.09
Ensuite_Shower_Stem,0.025,0.025,1.22,10.61,6.29,1.46
Ensuite_Vanity_Carcass,0.42,0.64,0.5,10.73,4.93,0.57
Ensuite_Vanity_Front_01,0.022,0.634,0.492,10.509,4.93,0.57
Ensuite_Vanity_Top,0.45,0.66,0.06,10.73,4.93,0.86
Ensuite_WC_Cistern,0.39,0.19,0.74,9.08,6.19,0.56
Ensuite_WC_Pan,0.39,0.62,0.48,9.08,5.93,0.31
Ensuite_WC_Seat,0.38,0.52,0.075,9.08,5.9,0.45
Entry_Shoe_Storage_Carcass,0.22,0.57,1.02,1.99,6.7,0.59
Entry_Shoe_Storage_Front_01,0.022,0.564,1.012,2.111,6.7,0.59
