room,reference_width_m,reference_depth_m,reference_area_m2,approx_floor_excluding_walls_m2,floor_area_method
Living,3.375,4.45,15.0188,13.861,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Bedroom_3,3.0,3.35,10.05,9.293,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Bedroom_2,3.0,3.35,10.05,9.293,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Main_Bedroom,3.3000000000000007,4.45,14.685,13.461,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Bedroom_Corridor,6.0,1.1,6.6,6.275,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Shelter,1.75,2.8,4.9,3.931,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Dining,4.625,1.9500000000000002,9.0188,8.566,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Entry,1.75,0.8499999999999996,1.4875,1.254,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Kitchen,2.2750000000000004,2.549999999999999,5.8012,5.199,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Service_Yard,1.375,2.549999999999999,3.5062,3.071,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Utility_Strip,0.5999999999999996,2.549999999999999,1.53,1.128,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Common_Bath,2.25,1.9500000000000002,4.3875,3.833,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
Ensuite,2.4749999999999996,1.9500000000000002,4.8262,4.275,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
AC_Ledge,2.4749999999999996,1.25,3.0937,2.731,"25mm centre-sampled grid; excludes wall footprint at z=0.8m, includes doorway floors; no furniture subtraction"
