camera,x_m,plan_y_m,eye_z_m,horizontal_fov_deg,purpose
EYE_W01_entry-dining,2.7,6.55,1.6,65.0,Human eye-level
EYE_W02_dining-living,3.0,4.9,1.6,65.0,Human eye-level
EYE_W03_dining-kitchen,3.0,6.05,1.6,65.0,Human eye-level
EYE_W04_bedroom_corridor,2.7,4.0,1.6,65.0,Human eye-level
EYE_W05_Bedroom_3,5.85,3.9,1.6,65.0,Human eye-level
EYE_W06_Bedroom_2,6.9,3.9,1.6,65.0,Human eye-level
EYE_W07_main_bedroom,8.9,3.9,1.6,65.0,Human eye-level
EYE_W08_common_bath,7.15,3.9,1.6,65.0,Human eye-level
EYE_W09_ensuite,9.9,3.9,1.6,65.0,Human eye-level
EYE_W10_service_yard,4.7,7.7,1.6,65.0,Human eye-level
EYE_W11_shelter_access,2.25,5.65,1.6,65.0,Human eye-level
FP_Entry_160cm_65deg,2.7,7.05,1.6,65.0,Human eye-level
PLAN_Orthographic,6.3,4.4,20.0,65.0,Orthographic inspection
PRESENTATION_Axonometric,17.5,17.0,15.0,50.0,Orthographic inspection
PREVIEW_Bedroom_2,7.15,2.55,1.6,65.0,Human eye-level
PREVIEW_Bedroom_3,5.8,3.05,1.6,65.0,Human eye-level
PREVIEW_Common_Bath,7.15,4.92,1.6,65.0,Human eye-level
PREVIEW_Common_Bath_Vanity,7.35,5.5,1.6,65.0,Human eye-level
PREVIEW_Dining,2.8,4.0,1.6,65.0,Human eye-level
PREVIEW_Ensuite,9.95,4.95,1.6,65.0,Human eye-level
PREVIEW_Ensuite_Vanity,9.78,5.45,1.6,65.0,Human eye-level
PREVIEW_Entry,2.7,6.55,1.6,65.0,Human eye-level
PREVIEW_Kitchen,4.7,6.05,1.6,65.0,Human eye-level
PREVIEW_Living_Eye,2.65,4.05,1.6,65.0,Human eye-level
PREVIEW_Main_Bedroom,10.7,2.9,1.6,65.0,Human eye-level
PREVIEW_Service_Yard,6.4,7.65,1.6,65.0,Human eye-level
PREVIEW_Shelter,1.0,5.4,1.6,65.0,Human eye-level
