component,width_m,depth_m,height_m,x_m,plan_y_m,z_m
AC_Ledge_Condenser_Indicative,0.88,0.38,0.74,9.9,7.01,0.49
AC_Ledge_Condenser_Indicative_Detail_Vent_00,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_01,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_02,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_03,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_04,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_05,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_06,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_07,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_08,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_09,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_10,0.6424,0.0023,0.0089,0.0,-0.0,0.0
AC_Ledge_Condenser_Indicative_Detail_Vent_11,0.6424,0.0023,0.0089,0.0,-0.0,0.0
Bedroom_2_Bed_Base,1.28,2.1,0.32,8.2,1.37,0.22
Bedroom_2_Bed_Base_Detail_Recessed_Foot,1.0624,1.806,0.048,0.0,-0.0,0.0
Bedroom_2_Bed_Base_Detail_Upper_Shadow_Reveal,1.2647,2.0732,0.003,0.0,-0.0,0.0
Bedroom_2_Bedside,0.44,0.44,0.07,9.0,0.85,0.47
Bedroom_2_Bedside_Base,0.26,0.26,0.44,9.0,0.85,0.24
Bedroom_2_Bedside_Detail_Inlaid_Edge,0.4276,0.4276,0.003,0.0,-0.0,0.0
Bedroom_2_Duvet,1.215,1.55,0.099,8.2,1.57,0.635
Bedroom_2_Low_Storage_Carcass,1.6,0.46,0.73,8.3,3.02,0.465
Bedroom_2_Low_Storage_Front_01,0.5273,0.022,0.722,7.7667,2.779,0.465
Bedroom_2_Low_Storage_Front_01_Detail_Satin_Pull,0.014,0.016,0.36,0.0,-0.0,0.0
Bedroom_2_Low_Storage_Front_02,0.5273,0.022,0.722,8.3,2.779,0.465
Bedroom_2_Low_Storage_Front_02_Detail_Satin_Pull,0.014,0.016,0.36,0.0,-0.0,0.0
Bedroom_2_Low_Storage_Front_03,0.5273,0.022,0.722,8.8333,2.779,0.465
Bedroom_2_Low_Storage_Front_03_Detail_Satin_Pull,0.014,0.016,0.36,0.0,-0.0,0.0
Bedroom_2_Low_Storage_Recessed_Plinth,1.52,0.4,0.1,8.3,3.02,0.05
Bedroom_2_Mattress,1.2,2.0,0.2527,8.2,1.37,0.48
Bedroom_2_Mattress_Detail_Lower_Piping,1.1186,1.8626,0.003,0.0,-0.0,0.0
Bedroom_2_Mattress_Detail_Sewn_Edge,1.1858,1.9746,0.003,0.0,-0.0,0.0
Bedroom_2_Mattress_Detail_Upper_Piping,1.1186,1.8626,0.003,0.0,-0.0,0.0
Bedroom_2_Upholstered_Headboard,1.36,0.1,1.1,8.2,0.31,0.7
Bedroom_2_Upholstered_Headboard_Detail_Panel_Seam_1,0.002,0.0025,0.946,0.0,-0.0,0.0
Bedroom_2_Wardrobe_Carcass,0.55,1.65,2.23,6.76,1.3,1.215
Bedroom_2_Wardrobe_Front_01,0.022,0.544,2.222,7.046,0.75,1.215
Bedroom_2_Wardrobe_Front_01_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Bedroom_2_Wardrobe_Front_02,0.022,0.544,2.222,7.046,1.3,1.215
Bedroom_2_Wardrobe_Front_02_Detail_Satin_Pull,0.016,0.014,0.36,0.0,-0.0,0.0
Bedroom_2_Wardrobe_Front_03,0.022,0.544,2.222,7.046,1.85,1.215
